SAINT-ESCOBILLE;91410;91547
BOISSISE-LE-ROI;77310;77040
BOULANCOURT;77760;77046
PUISEUX-PONTOISE;95650;95510
BREUIL-BOIS-ROBERT;78930;78104
VALENTON;94460;94074
BESSANCOURT;95550;95060
MEZY-SUR-SEINE;78250;78403
LE PLESSIS-AUX-BOIS;77165;77364
MAUCHAMPS;91730;91378
SAINTE-MESME;78730;78569
ORGEVAL;78630;78466
CONDE-SAINTE-LIBIAIRE;77450;77125
BONNIERES-SUR-SEINE;78270;78089
BOIS-LE-ROI;77590;77037
MAFFLIERS;95560;95353
VILLIERS-SUR-MARNE;94350;94079
ORPHIN;78125;78470
AMBLEVILLE;95710;95011
MAURECOURT;78780;78382
VAUREAL;95490;95637
SAVINS;77650;77446
FROMONT;77760;77198
MASSY;91300;91377
ARVILLE;77890;77009
NEAUPHLE-LE-CHATEAU;78640;78442
FONTENAILLES;77370;77191
BOINVILLIERS;78200;78072
THEUVILLE;95810;95611
LA FERTE-GAUCHER;77320;77182
COMMENY;95450;95169
IVRY-SUR-SEINE;94200;94041
SAINT-CYR-SUR-MORIN;77750;77405
OCQUERRE;77440;77343
COURSON-MONTELOUP;91680;91186
FLACOURT;78200;78234
STAINS;93240;93072
PARIS-8E-ARRONDISSEMENT;75008;75108
ARBONNE-LA-FORET;77630;77006
LUMIGNY-NESLES-ORMEAUX;77540;77264
GRESSY;77410;77214
BAZOCHES-SUR-GUYONNE;78490;78050
BOUTIGNY;77470;77049
CHALOU-MOULINEUX;91740;91131
GUYANCOURT;78280;78297
MONTCEAUX-LES-MEAUX;77470;77300
CROISSY-BEAUBOURG;77183;77146
COUBERT;77170;77127
VILLETANEUSE;93430;93079
CHEVILLY-LARUE;94550;94021
CHANTELOUP-LES-VIGNES;78570;78138
BOINVILLE-EN-MANTOIS;78930;78070
LE VAL-SAINT-GERMAIN;91530;91630
JAIGNES;77440;77235
GRETZ-ARMAINVILLIERS;77220;77215
COURGENT;78790;78185
VOULANGIS;77580;77529
VILLIERS-SAINT-FREDERIC;78640;78683
BOISSY-L'AILLERIE;95650;95078
VIMPELLES;77520;77524
SAINT-MICHEL-SUR-ORGE;91240;91570
BAGNEAUX-SUR-LOING;77167;77016
MISY-SUR-YONNE;77130;77293
SAINT-NOM-LA-BRETECHE;78860;78571
PRESLES-EN-BRIE;77220;77377
GARGES-LES-GONESSE;95140;95268
VILLIERS-LE-MAHIEU;78770;78681
CHAMPS-SUR-MARNE;77420;77083
ERAGNY;95610;95218
FLINS-SUR-SEINE;78410;78238
HAUTEFEUILLE;77515;77224
LE PECQ;78230;78481
VILLECRESNES;94440;94075
BOISSY-MAUVOISIN;78200;78082
RICHEBOURG;78550;78520
LESCHES;77450;77248
CHAILLY-EN-BIERE;77930;77069
SENLISSE;78720;78590
PARIS-17E-ARRONDISSEMENT;75017;75117
CROUY-SUR-OURCQ;77840;77148
